      NO              DATA              UNIT           TIME  
    492               32.0                 C           05-17-12/14:06:04  
    493               32.0                 C           05-17-12/14:06:04  
    494               32.0                 C           05-17-12/14:06:05  
    495               32.8                 C           05-17-12/14:06:05  
    496               32.8                 C           05-17-12/14:06:06  
    497               32.8                 C           05-17-12/14:06:06  
    498               33.5                 C           05-17-12/14:06:07  
    499               33.5                 C           05-17-12/14:06:07  
    500               32.8                 C           05-17-12/14:06:08  
    501               32.8                 C           05-17-12/14:06:08  
    502               31.1                 C           05-17-12/14:06:09  
    503               31.1                 C           05-17-12/14:06:09  
    504               31.1                 C           05-17-12/14:06:10  
    505               31.1                 C           05-17-12/14:06:10  
    506               31.1                 C           05-17-12/14:06:11  
    507               29.0                 C           05-17-12/14:06:11  
    508               29.0                 C           05-17-12/14:06:12  
    509               25.8                 C           05-17-12/14:06:12  
    510               25.5                 C           05-17-12/14:06:13  
    511               25.5                 C           05-17-12/14:06:13  
    512               22.5                 C           05-17-12/14:06:14  
    513               22.5                 C           05-17-12/14:06:14  
    514               22.0                 C           05-17-12/14:06:15  
    515               22.0                 C           05-17-12/14:06:15  
    516               21.8                 C           05-17-12/14:06:16  
    517               21.8                 C           05-17-12/14:06:16  
    518               21.8                 C           05-17-12/14:06:16  
    519               21.8                 C           05-17-12/14:06:17  
    520               21.8                 C           05-17-12/14:06:17  
    521               21.8                 C           05-17-12/14:06:18  
    522               22.0                 C           05-17-12/14:06:18  
    523               22.0                 C           05-17-12/14:06:19  
    524               22.0                 C           05-17-12/14:06:19  
    525               22.0                 C           05-17-12/14:06:20  
    526               22.0                 C           05-17-12/14:06:20  
    527               22.0                 C           05-17-12/14:06:21  
    528               22.0                 C           05-17-12/14:06:21  
    529               21.8                 C           05-17-12/14:06:22  
    530               21.8                 C           05-17-12/14:06:22  
    531               21.8                 C           05-17-12/14:06:23  
    532               21.8                 C           05-17-12/14:06:23  
    533               21.5                 C           05-17-12/14:06:24  
    534               21.5                 C           05-17-12/14:06:24  
    535               21.5                 C           05-17-12/14:06:24  
    536               21.8                 C           05-17-12/14:06:25  
    537               21.8                 C           05-17-12/14:06:25  
    538               21.8                 C           05-17-12/14:06:26  
    539               21.8                 C           05-17-12/14:06:26  
    540               21.8                 C           05-17-12/14:06:27  
    541               21.8                 C           05-17-12/14:06:27  
    542               21.8                 C           05-17-12/14:06:28  
    543               21.8                 C           05-17-12/14:06:28  
    544               23.5                 C           05-17-12/14:06:29  
    545               23.2                 C           05-17-12/14:06:29  
    546               23.5                 C           05-17-12/14:06:30  
    547               24.5                 C           05-17-12/14:06:30  
    548               24.5                 C           05-17-12/14:06:31  
    549               26.0                 C           05-17-12/14:06:31  
    550               27.0                 C           05-17-12/14:06:32  
